Carat Weight;Cut;Color;Clarity;Polish;Symmetry;Report;class
"[0.75;0.9)";Ideal;I;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Fair;H;VVS2;G;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;I;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;F;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS2;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;H;VVS2;VG;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VVS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;F;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VVS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VVS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;SI1;EX;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;I;VS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VS2;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;F;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;VG;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;G;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VVS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VVS2;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS1;VG;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;SI1;VG;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VVS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;G;SI1;EX;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VS2;G;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;I;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;G;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;VS2;G;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;F;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;G;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VVS2;EX;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;F;VS2;VG;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;H;VS2;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;E;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;D;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS2;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;G;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;I;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;F;VS1;VG;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;G;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Fair;G;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;VG;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;F;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;D;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;F;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;EX;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;D;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;H;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;H;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Fair;F;VS1;G;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;VG;EX;GIA;"(2000;4000)"
"[0.9;1)";Good;I;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;D;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;D;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;I;VS1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;D;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;D;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;G;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;H;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;H;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VS1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;F;VS1;G;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;I;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;D;SI1;VG;VG;GIA;"(2000;4000)"
"[0.9;1)";Good;I;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;F;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;D;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;H;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;F;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;VS2;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;G;VS1;VG;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;F;SI1;VG;EX;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Good;I;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;G;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Good;I;SI1;EX;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;D;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Fair;I;VS2;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;H;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;VG;G;GIA;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;G;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Fair;F;VS2;VG;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;F;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VVS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;H;SI1;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Good;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.9;1)";Fair;H;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VVS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;G;VS2;G;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;F;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;VS2;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VVS2;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VVS2;EX;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;F;SI1;EX;VG;GIA;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;G;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;VS1;G;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Good;G;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;G;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VS2;G;G;GIA;"(2000;4000)"
"[0.9;1)";Good;H;SI1;G;VG;GIA;"(2000;4000)"
"[0.9;1)";Good;I;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;D;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VVS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;D;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;D;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;EX;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;F;VS1;VG;VG;GIA;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;G;G;GIA;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS2;G;EX;GIA;"(2000;4000)"
"[0.9;1)";Fair;H;SI1;VG;G;GIA;"(2000;4000)"
"[0.9;1)";Good;H;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;VS2;VG;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;G;VS1;VG;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;I;VS1;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Fair;I;VVS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;F;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;SI1;G;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;G;IF;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;D;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;E;VS1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;F;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VVS2;ID;ID;AGSL;"(2000;4000)"
"[0.9;1)";Fair;H;SI1;VG;G;GIA;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;I;SI1;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Good;I;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;H;VS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;F;SI1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;F;SI1;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Fair;I;VS1;VG;G;GIA;"(2000;4000)"
"[0.9;1)";Fair;I;SI1;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;G;VS2;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;D;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;F;VS1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Signature-Ideal;I;VS2;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Good;H;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VVS1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Good;F;VS2;EX;VG;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;E;VS2;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;E;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Good;E;VS2;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;IF;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;D;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;VG;VG;GIA;"(2000;4000)"
"[0.9;1)";Good;H;SI1;EX;G;GIA;"(2000;4000)"
"[0.9;1)";Very Good;H;SI1;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Very Good;H;SI1;EX;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;D;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;I;VVS2;EX;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VVS2;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;D;VS2;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;ID;ID;AGSL;"(2000;4000)"
"[0.75;0.9)";Ideal;D;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;G;SI1;VG;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;H;VS1;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;F;VS2;EX;EX;GIA;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;EX;VG;GIA;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;VG;VG;GIA;"(2000;4000)"
"[0.9;1)";Very Good;I;SI1;VG;VG;GIA;"(2000;4000)"
"[0.75;0.9)";Very Good;G;VS2;G;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;E;SI1;VG;G;GIA;"(2000;4000)"
"[0.75;0.9)";Ideal;H;VVS2;EX;EX;GIA;"(2000;4000)"
"[0.75;0.9)";Fair;G;VS2;VG;G;AGSL;"(2000;4000)"
"[0.75;0.9)";Good;E;SI1;EX;VG;GIA;"(2000;4000)"
